Category,Tender Description,Advertised,Cancelled
Activities of head offices; management consultancy activities,TO SOURCE A SERVICE PROVIDER TO REVIEW THE INTERNSHIP PROGRAMME TRAINING GUIDELINES AND DEVELOP TRAINING GUIDELINES FOR CANDIDACY PROGRAMME.,07/08/2025,[object Object]
Services: Professional,To appoint a service provider to do Inspection of underground diesel tank for integrity,07/08/2025,[object Object]
Construction,Upgrading of Fairview Access Road to Asphalt in Ward 4,07/08/2025,[object Object]
Disposals: General,"INVITATION TO SUBMIT AN OFFER FOR PURCHASE, COLLECT AND REMOVE – 2x 22 6.6KV 1.25MVA (NO WINDINGS) three (3) vandalized transformers located at Capital pumpstation in Mpumalanga.",07/08/2025,[object Object]
Disposals: General,"INVITATION TO SUBMIT AN OFFER FOR PURCHASE, COLLECT AND REMOVE - 22 6.6KV 1.25MVA (NO WINDINGS) Five (5) vandalized transformers located at Capital Substation in Mpumalanga",07/08/2025,[object Object]
"Waste collection, treatment and disposal activities; materials recovery","PROVISION OF HAZARDOUS AND GENERAL WASTE MANAGEMENT SERVICES FOR TRANSNET PIPELINES FACILITIES LOCATED WITHIN MPUMALANGA PROVINCE (DEPOTS, PUMP STATIONS, WORKSHOPS AND FACILITIES) ON AN “AS AND WHEN REQUIRED BASIS” FOR A PERIOD OF THREE (3) YEARS",07/08/2025,[object Object]
Accommodation,APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE A SUITABLE VENUE FOR TRADE & INVESTMENT KWAZULU-NATAL TO HOST THE ROUTE DEVELOPMENT PRIVATE SECTOR AIR CONNECTIVITY ENGAGEMENT 11 SEPTEMBER 2025.,07/08/2025,[object Object]
Other service activities,"TENDER NO. MN 83/2025 - TENDER FOR SUPPLY, INSTALLATION AND MANAGEMENT OF AN INDIGENT SOFTWARE SYSTEM AND THE AUDIT OF THE INDIGENT DATA BASE FOR A PERIOD OF THREE YEARS",07/08/2025,[object Object]
"Office administrative, office support and other business support activities",APPOINTMENT OF A SERVICE PROVIDER FOR THE IMPLEMENTATION OF VMWARE AND MAINTENANCE FOR A PERIOD OF TWO (2) YEARS FOR EZEMVELO KZN WILDLIFE.,07/08/2025,[object Object]
"Waste collection, treatment and disposal activities; materials recovery","PROVISION OF HAZARDOUS AND GENERAL WASTE MANAGEMENT SERVICES FOR TRANSNET PIPELINES FACILITIES LOCATED WITHIN MPUMALANGA PROVINCE (DEPOTS, PUMP STATIONS, WORKSHOPS AND FACILITIES) ON AN “AS AND WHEN REQUIRED BASIS” FOR A PERIOD OF THREE (3) YEARS",07/08/2025,[object Object]
Rental and leasing activities,The Road Accident Fund (RAF) wishes to appoint a suitable service provider to provide an Office Space for Rental for RAF Kimberly Client Experience Centre (CEC) for a period of Twelve (12) months starting from 01 March 2026 and ending on 28 February 2027.,07/08/2025,[object Object]
Services: Functional (Including Cleaning and Security Services),"The Road Accident Fund (RAF) wishes to appoint a suitable service provider to provide Cleaning Services for RAF, Durban Office for a period of six (6) months starting from 16 September 2025.",07/08/2025,[object Object]
Other service activities,APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY AND DELIVER FUEL PRODUCTS (PETROL & DIESEL) TO SAFCOL FOR A PERIOD OF THREE (3) YEARS,07/08/2025,[object Object]
Activities of head offices; management consultancy activities,REQUEST FOR QUOTATIONS TO PROVIDE INITIAL ENHANCEMENT AND PROVIDE TECHNICAL SUPPORT SERVICES FOR THE SALGA MUNICIPAL HR PULSE PLATFORM FOR THREE (3) YEARS,07/08/2025,[object Object]
Services: Professional,"Request to appoint a service provider (SP) to provide the Fisheries Management branch of the Department of Forestry, Fisheries and the Environment (DFFE) /MLRF for Ad Hoc repairs and quarterly maintenance services for the 4 walk in freezers at the main stores, Paarden Eiland for a period of three (3) years.",06/08/2025,[object Object]
"Electricity, gas, steam and air conditioning","APPOINTMENT OF SERVICE PROVIDER FOR THE REMOVAL, SUPPLY AND INSTALLATION OF AIR CONDITIONERS.",06/08/2025,[object Object]
Accommodation,APPOINTMENT OF A PROPERTY SPECIALIST TO PROVIDE FEASIBILITY ASSESSMENT.,06/08/2025,[object Object]
Education,REQUEST FOR CATERING SERVICE PROVIDER FOR THE CELEBRATION OF WOMEN’S DAY EVENT TO BE HELD IN PRETORIA 14 AUGUST 2025 FOR 400 DELEGATES.,06/08/2025,[object Object]
Services: Professional,APPOINTMENT OF A PANEL OF FOUR (4) QUALIFICATION DEVELOPMENT FACILITATORS (QDFs),06/08/2025,[object Object]
Services: Professional,THE ROAD ACCIDENT FUND (RAF) SEEKS TO APPOINT AN EXPERIENCED AND SUITABLE SERVICE PROVIDER TO PROVIDE ENTERPRISE INTERGRATION PLATFORM TO THE RAF FOR A PERIOD OF FIVE YEARS,05/08/2025,[object Object]
Other service activities,RFQ 201753: APPOINTMENT OF A SERVICE PROVIDER TO CONDUCT LOAD SWITCH AND OTHER ELECTRICITY METERING-RELATED TESTS AT THE APPLIANCES LABORATORY,05/08/2025,[object Object]
Supplies: General,SUPPLY AND DELIVERY OF OUTAGE GENERATOR SPARES AT KUSILE POWER STATION ON A ONCE OFF,05/08/2025,[object Object]
"Arts, entertainment and recreation",Facilitator for women mentorship session,05/08/2025,[object Object]
Security and investigation activities,We are looking to appoint a suitably qualified service provider for the implementation of an identity security and risk-based access control for a period of twelve (12) months,05/08/2025,[object Object]
Services: Professional,Road Accident Fund (RAF) wishes to appoint a registered auctioneer to assist RAF with auctioneer services of furniture and appliances for RAF Cape Town Regional Office.,05/08/2025,[object Object]
"Arts, entertainment and recreation",MC Services for NGAP Gala Dinner – 13 August 2025 (Please indicate who you are recommending on your quote),05/08/2025,[object Object]
Services: General,Maintenance Airfield Ground Lighting (AGL) Systems at Upington International Airport and Kimberley Airport for a period of 5 years,05/08/2025,[object Object]
Services: Professional,FLEXIBLE INSURANCE SOLUTIONS TO THE SOUTH AFRICAN ARTISTS AND ATHLETES.,04/08/2025,[object Object]
Services: General,Electrical stock,04/08/2025,[object Object]
Supplies: Medical,The provision of blood monitoring services,04/08/2025,[object Object]
Services: Building,Request for Quotation General Building,04/08/2025,[object Object]
"Professional, scientific and technical activities",WIMS NO:048152: KWAZULU NATAL: DEPARTMENT OF HEALTH:ETHEKWINI REGION: KWADUKUZA: GENERAL JUSTICE GIZENGA MPANZA REGIONAL HOSPITAL: NEW 28 BED MALE AND FEMALE INPATIENT AND OUTPATIENT MENTAL HEALTH UNIT: APPOINTMENT OF TRAFFIC ENGINEERING CONSULTANT TO PROVIDE TRAFFIC IMPACT ASSESSMENT FOR THE APPROVAL OF DEPARTMENT OF TRANSPORT.,04/08/2025,[object Object]
Security and investigation activities,Procurement of Dual-Key Medium-sized safe with two compartments.,04/08/2025,[object Object]
"Office administrative, office support and other business support activities",APPOINTMENT OF A SERVICE PROVIDER FOR THE IMPLEMENTATION OF VMWARE AND MAINTENANCE FOR A PERIOD OF THREE (3) YEARS FOR EZEMVELO KZN WILDLIFE.,04/08/2025,[object Object]
Services: Professional,REQUEST FOR QUOTATION FOR PERSONNEL SAFETY RISK ASSESSMENT FOR THE NATIONAL LOTTERIES COMMISSION (NLC),04/08/2025,[object Object]
Services: Functional (Including Cleaning and Security Services),"Procurement of cleaning services at Humansdorp Hospital, in the Eastern Cape Department of Health for a period of 36 months.",04/08/2025,[object Object]
Services: Functional (Including Cleaning and Security Services),Procurement of gardening services for Humansdorp Hospital for a period of thirty-six (36) months.,04/08/2025,[object Object]
Services: Professional,Virtual Training on Ergonomics,04/08/2025,[object Object]
Activities of head offices; management consultancy activities,EWSETA/RFQ/027/2025-26 - PROVISION OF A FACILITATOR FOR THE STRATEGIC RISK WORKSHOP FOR A PERIOD OF TWO (02) YEARS AS AND WHEN REQUIRED,01/08/2025,[object Object]
"Office administrative, office support and other business support activities",APPOINTMENT OF SERVICE PROVIDER TO PROVIDE MIMECAST LICENSES FOR A PERIOD OF THIRTY-SIX (36) MONTHS. (150 Licences),01/08/2025,[object Object]
"Other professional, scientific and technical activities",The Road Accident Fund (RAF) seeks to appoint an experienced service provider to conduct Tyre Safety Training across all nine provinces for Law Enforcement and Road Safety Officials.,01/08/2025,[object Object]
Services: Functional (Including Cleaning and Security Services),"THE PROVISION OF A PSIRA REGISTERED SECURITY SERVICE FOR A PERIOD OF 60 MONTHS AT THE NATIONAL RESEARCH FOUNDATION, PRETORIA BRUMMERIA CAMPUS.",01/08/2025,[object Object]
Services: Electrical,"REPAIRS AND MAINTENANCE OF SUBSTATIONS, MINI-SUBSTATIONS, ASSOCIATED EQUIPMENTS AND ELECTRICAL NETWORKS FOR CERTIFICATION PURPOSES FOR A PERIOD OF EIGHT (08) MONTHS FOR TRANSNET PROPERTY IN THE INLAND REGION WITHIN THE NORTHERN CAPE PROVINCE",01/08/2025,[object Object]
Telecommunications,Supplier to provide internet lines for All HWSETA offices.,01/08/2025,[object Object]
Services: Functional (Including Cleaning and Security Services),TACTICAL RESPONSE SECURITY SERVICES REQUIRED IN THE WHITE RIVER AREA FOR A PERIOD OF SIX (6) MONTHS,01/08/2025,[object Object]
Construction,"The Independent Development Trust, on behalf of the Mmabana Arts, Culture & Sport Foundation Head Office, North West Province, invites bidders for the APPOINTMENT OF A CONTRACTOR FOR THE REPAIRS AND RENOVATIONS TO MMABANA ARTS, CULTURE & SPORT FOUNDATION HEAD OFFICE NORTH WEST PROVINCE",01/08/2025,[object Object]
"Electricity, gas, steam and air conditioning","APPOINTMENT OF SERVICE PROVIDER FOR THE REMOVAL, SUPPLY AND INSTALLATION OF AIR CONDITIONERS",01/08/2025,[object Object]
"Professional, scientific and technical activities",APPOINTMENT OF ACCREDITED TRAINING SERVICE PROVIDER TO PROVIDE TRAINING ON ACCESS CONTROL AND PHYSICAL SECURITY MANAGEMENT COURSE FOR 02 OFFICIALS,01/08/2025,[object Object]
"Computer programming, consultancy and related activities",Provision for Internet Services - 3 Year Contract,31/07/2025,[object Object]
Supplies: General,SUPPLY AND DELIVER WHEEL COUNTERBALANCE FORKLIFT,31/07/2025,[object Object]
Civil engineering,STRUCTURAL ASSESSMENTS,31/07/2025,[object Object]
Supplies: General,"MANUFACTURE, SUPPLY AN DELIVERY OF THREE HIGH PRESSURE JETTING MACHINES",31/07/2025,[object Object]
Information and communication,"TO RENEW THE EXISTING MIMECAST AND DMARC (SENDMARC OR EQUIVALENT) SUBSCRIPTIONS, INCLUDING THE CONTINUATION OF CONFIGURATION SUPPORT, SYSTEMS ADMINISTRATOR TRAINING, AND MAINTENANCE SERVICES FOR A PERIOD OF 12 MONTHS",31/07/2025,[object Object]
Supplies: General,SUPPLY AND DELIVER BRAKES,31/07/2025,[object Object]
Security and investigation activities,The provision of security guarding services for a period of 36 months,31/07/2025,[object Object]
Food and beverage service activities,REQUEST FOR QUOTATION FOR CATERING SERVICES IN (LEHANA PLANTATION EASTERN CAPE),31/07/2025,[object Object]
Services: General,"Supply and Delivery of animal medication for flock competition, Babonene cooperative and Eve Ndabakazi cooperative and feed for Babonene cooperative and Eve Ndabakazi Cooperative",30/07/2025,[object Object]
Services: General,"REQUEST FOR PROPOSALS FROM SERVICE PROVIDERS TO PROVIDE TRADE & INVESTMENT KWAZULU-NATAL WITH EXHIBITION STAND DESIGNS AND THE BUILDING OF 15 x 3sqm EXHIBITOR STANDS AT THE GLOBAL ENTREPRENEURSHIP FESTIVAL ACTIVATION TO BE HOSTED AT THE ICC, DURBAN, KWAZULU-NATAL ON THE 6TH AUGUST 2025.",30/07/2025,[object Object]
Services: Functional (Including Cleaning and Security Services),27-2025 - PANEL FOR THE PROVISION OF SECURITY SERVICES,30/07/2025,[object Object]
"Manufacture of motor vehicles, trailers and semi-trailers",REQUEST FOR QUOTATION (RFQ) FOR THE APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY AND DELIVER NEW LUGGAGE TRAILERS,30/07/2025,[object Object]
Supplies: Electrical Equipment,SUPPLY AND DELIVERY OF ELECTRICAL TOOLS (ONCE OFF),30/07/2025,[object Object]
Other personal service activities,To appoint a service provider to urgently repair electrical and office vandalism damages,30/07/2025,[object Object]
Other service activities,Training of Municipal Officials on Performance,30/07/2025,[object Object]
Other service activities,REQUEST FOR QUOTATION (RFQ): THE APPOINTMENT OF A SERVICE PROVIDER TO FACILITATE PRE-REQUISITE TRAINING FOR CATEGORY A RED (OHTE) PHASE 1 IN THE KZN REGION.,29/07/2025,[object Object]
Services: Professional,"Appointment of a service provider for the design, supply, installation, and commissioning of the borehole water treatment system, including maintenance and support for a period of five (05) years with the option for further renewals at Sentech Head Office.",29/07/2025,[object Object]
Supplies: Clothing/Textiles/Footwear,Supply and delivery of traffic uniform and general PPE,29/07/2025,[object Object]
Services: Professional,APPOINTMENT OF SERVICE PROVIDER TO REVIEW 2025-26 TRANSFER PAYMENTS.,29/07/2025,[object Object]
Services: Functional (Including Cleaning and Security Services),REQUEST FOR PROPOSAL (RFP) FOR THE SECURITY GUARDING SERVICES FOR A PERIOD OF 24 MONTHS.,29/07/2025,[object Object]
Activities of head offices; management consultancy activities,"Appointment of a professional, qualified and experienced independent service provider to provide contract management capacity services relating to old, slow moving and non- performing contracts.",29/07/2025,[object Object]
Other personal service activities,REGRET LETTER: C&I CALIBRATION AND REFURBISHMENT OF STATION SERVICE INSTRUMENTS FOR A PERIOD OF 3 YEARS,29/07/2025,[object Object]
"Computer programming, consultancy and related activities","Request to procure11 Laptops, 3 Monitors, Conference Bluetooth Speaker and a Projector, including the mounting bracket and installation that meet specified requirements",29/07/2025,[object Object]
"Computer programming, consultancy and related activities","Request to procure11 Laptops, 3 Monitors, Conference Bluetooth Speaker and a Projector, including the mounting bracket and installation that meet specified requirements",29/07/2025,[object Object]
Supplies: Electrical Equipment,"THE SUPPLY AND INSTALLATION OF CABLE TRENCH COVERS AT HERMES SUBSTATION IN NTCSA NORTHERN GRID FOR A ONCE OFF PURCHASE. A non-compulsory clarification meeting with representatives of NTCSA will take place as follows: Date: 11 August 2025 Time: 11:00 Venue: Hermes substation Substation Coordinates: 26.9046°S 26.7824°E Tenderers must confirm their intention to attend with the NTCSA Representative, stating the name, position and contact details of each proposed attendee. E-mail: BaloyiAT@ntcsa.co.za Tenders are to be submitted electronically via NTCSA E- tendering site by the stipulated closing date and time.",28/07/2025,[object Object]
Services to buildings and landscape activities,Appointment of a service provider for the provision of landscaping and maintenance services to the Freedom Park for a period of 3 years.,28/07/2025,[object Object]
Other service activities,REQUEST FOR INFORMATION FOR BEE CONSULTANT SERVICES.,28/07/2025,[object Object]
Services: General,Procurement of Printing Braille Tests,28/07/2025,[object Object]
Repair and installation of machinery and equipment,"REQUEST FOR A SUITABLE SECURITY SERVICE PROVIDER TO STRIP, SUPPLY, AND INSTALL TWENTY-NINE (29) BIOMETRIC FINGERPRINT SCANNERS FOR NHBRC (BASEMENT, FIRST FLOOR, SECOND FLOOR, AND THIRD FLOOR).",28/07/2025,[object Object]
Services to buildings and landscape activities,"TENDER VALIDITY -PROVISION OF SUPERVISION, LABOUR, EQUIPMENT AND MATERIAL REQUIRED FOR GENERAL BUILDING MAINTENANCE SERVICES FOR TRANSMISSION SUBSTATIONS AND COMMERCIAL BUILDINGS FOR NORTHERN GRID (NORTHWEST & LIMPOPO). FOR A PERIOD OF 36 MONTHS, FOR AS AND WHEN REQUIRED BASIS",28/07/2025,[object Object]
Supplies: General,SUPPLY AND DELIVERY OF SUPPLY AND DELIVER 10 X 5.5m3 REL SKIP BINS,28/07/2025,[object Object]
Services: Professional,THE APPOINTMENT OF A SERVICE PROVIDER TO FACILITATE STRATEGIC PLANNING SESSIONS FOR THE CSOS AND SUPPORT THE DEVELOPMENT OF THE ANNUAL PERFORMANCE PLANS AND ANNUAL OPERATIONAL PLANS,28/07/2025,[object Object]
Accommodation,PROVISION OF OFFICE ACCOMMODATION FOR A PERIOD OF UP TO FIVE (5) YEARS IN RESPECT OF SECUNDA SATELLITE OFFICE,28/07/2025,[object Object]
Civil engineering,"VREDENDAL RAW WATER PUMPSTATION, WTW & BULK WATER PUMPSTATIONS: PHASE 2 CIVIL WORKS",25/07/2025,[object Object]
Other service activities,SUPPLY AND DELIVERY OF HEAVY MOTOR VEHICLES AND LIGHT DELIVERY VEHICLES ON RENTAL FOR MATZIKAMA MUNICIPALITY,25/07/2025,[object Object]
Other service activities,SUPPLY AND DELIVERY OF HEAVY MOTOR VEHICLES AND LIGHT DELIVERY VEHICLES ON RENTAL FOR MATZIKAMA MUNICIPALITY,25/07/2025,[object Object]
Services: General,INVITATION OF SERVICE PROVIDERS TO SUBMIT PROPOSALS TO RENDER THE SERVICES OF DESLUDGING SEPTIC TANKS AT GAUTENG DEPARTMENT OF EDUCATION (GDE) INSTITUTIONS FOR A FIXED-TERM PERIOD OF THIRTY-SIX (36) MONTHS,25/07/2025,[object Object]
