category,tenderNumber,description,advertised,closing,cancelled,AI_Related,AI_Reason
Supplies: General,06/25/26,"MANUFACTURE, SUPPLY, AND DELIVER 15 X 6 CUBIC METERS STEEL REFUSE SKIPS TO MANDENI MUNICIPALITY.",17/09/2025,01/10/2025,,,
Supplies: General,07/25/26,SUPPLY AND DELIVER OF 370 X 240L WHILLIE BINS.,17/09/2025,01/10/2025,,,
Supplies: General,SGI012508RFQ00000022,Delivery of slurry pump to ARC Bethlehem Branch.,17/09/2025,24/09/2025,,,
Information and communication,08/25/26,ESTABLISHMENT OF A PANEL OF IT SERVICE PROVIDERS FOR PROVISION OF IT GOODS AND SERVICES FOR A PERIOD OF 36 MONTHS.,17/09/2025,17/10/2025,,,
Other service activities,HSRC/05/2025/26,Appointment of a service provider(s) to collect data for the 2025 annual round of the South African Social Attitudes Survey (SASAS) – with the possibility of an extension for 2 additional survey rounds (conditional on performance and funding ),17/09/2025,08/10/2025,,,
Supplies: General,iLABS/RFQ 2025/26:135,Supply and Delivery X-Ray photoelectron spectroscopy filaments at iThemba LABS Cape Town,17/09/2025,26/09/2025,,,
Supplies: General,08/2/23/22,SUPPLY AND DELIVERY OF OPEN ROLL ON – ROLL OFF (RORO) BIN / HOOK LIFT BINS AND 9M³ SKIPS,17/09/2025,24/10/2025,,,
Supplies: General,08/2/23/35,SUPPLY AND DELIVERY OF PROCESS AERATORS / MIXERS FOR WITZENBERG MUNICIPALITY,17/09/2025,10/10/2025,,,
Supplies: General,SK8/3/1-09/2025/2026,APPOINTMENT OF SERVICE PROVIDER FOR SUPPLY AND DELIVERY OF LAPTOPS AND PRINTER (ONCE-OFF).,17/09/2025,01/10/2025,,,
Supplies: General,09/25/26,ESTABLISHMENT OF A PANEL OF SERVICE PROVIDERS TO LEASE PLANT AND EQUIPMENT FOR THE PERIOD OF 3 YEARS TO MANDENI MUNICIPALITY AND WHEN REQUIRED.,17/09/2025,17/10/2025,,,
Services: Professional,SCMU1-25/26- 0003,"APPOINTMENT OF A SERVICE PROVIDER TO PLACE ADVERTISEMENTS OF TENDERS, VACANCIES, NOTICES AND OTHER ARTICLES FOR THE OFFICE OF THE PREMIER FOR THE PERIOD OF THIRTY-SIX (36) MONTHS.",17/09/2025,13/10/2025,,,
"Travel agency, tour operator, reservation service and related activities",USAASA/TMC/01/2025/26,Appointment of a Service Provider to Provide Travel Management Services to the Universal Service and Access Agency of South Africa (USAASA) for a period of 36 Months.,17/09/2025,17/10/2025,,,
Manufacture of machinery and equipment n.e.c.,iLABS/RFQ 2025/26:136,"Supply, delivery and installation of a UPS inverter and ancillary equipment",17/09/2025,30/09/2025,,,
Other service activities,E1853DXNC,- Provision of Engineering surveying services on as an and when basis required for a period of 3 years,17/09/2025,17/10/2025,,,
Services: Professional,WTE-2506ES,SERVICE AND REPAIRS OF FLOW METERS IN THE OPERATIONS EASTERN (DURATION: 2 MONTHS),17/09/2025,14/10/2025,,,
Services: Electrical,ECR/RAIL/F/02/09/2025,"APPOINTMENT OF SERVICE PROVIDER FOR PROVISION OF TWO (2) GENERAL ELECTRICAL CONTRACTORS ON AN AS AND WHEN BASIS FOR A PERIOD OF THIRTY-SIX MONTHS FOR EAST LONDON CORRIDOR, GQEBERHA CORRIDOR AND MLPS CORRIDOR IN THE EASTERN CAPE REGION (ER)",17/09/2025,17/10/2025,,,
Education,EEC/T21/2025,Hygiene and Pest Control Services at EEC sites,17/09/2025,09/10/2025,,,
Food and beverage service activities,RFQ202526/54,REQUEST FOR SUPPLY AND DELIVERY OF CATERING SERVICES FOR THE MEETING OF THE BOARD OF DIRECTORS OF TRADE & INVESTMENT KWAZULU-NATAL,17/09/2025,22/09/2025,,,
Services: General,ERI/2025/TSS/10,The Supply and Delivery of Steel and Welding Supplies,17/09/2025,08/10/2025,,,
Construction,NC065/T09/2025,UPGRADING OF THE NIEUWOUDTVILLE OXIDATION PONDS,17/09/2025,08/10/2025,,,
Services: Professional,COJ0023-25/26,TERMS OF REFERENCE FOR THE APPOINTMENT OF A SUITABLE SERVICE PROVIDER FOR THE PROVISION OF THE HATCHERY MANAGEMENT SHORT COURSE TRAINING FOR THE PERSONNEL (PROGRAMME COORDINATORS) OF THE FOOD RESILIENCE UNIT,17/09/2025,25/09/2025,,,
"Other professional, scientific and technical activities",RFP: SAAT014/2025,Procurement of two (2) CFM56-5C Engines - Outright Purchase,17/09/2025,29/09/2025,,,
Supplies: General,COJ0024-25/26,"SUPPLY, DELIVERY AND OFFLOADING OF ADAPTER DOLLIES",17/09/2025,25/09/2025,,,
Supplies: General,COJ0025-25/26,"SUPPLY, DELIVERY AND OFFLOADING OF CARDBOARD IDPA TARGETS ON AN AS-AND-WHEN REQUIRED BASIS",17/09/2025,25/09/2025,,,
Services: General,RFQ202526/53,SUPLLY AND FITTING OF NEW BLINDS AND SUNBLOCKERS FOR TRADE & INVESTMENT KWAZULU-NATAL.,17/09/2025,25/09/2025,,,
"Water supply; sewerage, waste management and remediation activities",KRLM/TEC/BID:01/2025-26,APPOINTMENT OF A PANEL OF 05 ACCREDITED SERVICE PROVIDERS FOR WATER LABORATORY (SAMPLING OF WATER AND WASTE WATER) FOR THE DURATION OF THIRTY-SIX (36) MONTHS,17/09/2025,07/10/2025,,,
Other service activities,RFQJW00133SM2025,Supply and delivery Peripheral Devices - ESM,17/09/2025,25/09/2025,,,
Scientific research and development,OVI01REQ002776,Equivac EHV-1/4 ((Zoetis),17/09/2025,25/09/2025,,,
Repair and installation of machinery and equipment,CTIA8043/2025/RFP,REQUEST FOR BIDS FOR THE PROVISION OF ¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬REPAIRS AND MAINTENANCE OF LIFTS & ESCALATORS AND REFURBISHMENT PROJECTS FOR A PERIOD NOT EXCEEDING 5 YEAR (60 MONTHS) AT AIRPORTS COMPANY SOUTH AFRICA CAPE TOWN INTERNATIONAL AIRPORT,17/09/2025,23/10/2025,,,
"Manufacture of fabricated metal products, except machinery and equipment",E1844GXMPHENR,"Re- Issue for the Supply and Delivery of Ash plant piping spares on an ""as and when required"" at Hendrina Power Station for a period of 5 years",17/09/2025,09/10/2025,,,
Other service activities,001/2025/26,PANEL OF FOUR (04) SERVICE PROVIDERS TO SUPPLY AND DELIVER AGGREGATE MATERIAL FOR A PERIOD OF TWO (02) YEARS.,17/09/2025,20/10/2025,,,
Other service activities,004/2025/26,PANEL OF THREE (3) SERVICE PROVIDERS TO SUPPLY AND DELIVER OF BITUMEN MATERIAL FOR A PERIOD OF TWO (02) YEARS.,17/09/2025,21/10/2025,,,
Supplies: General,RFQ 2025.215,Prospective service providers are hereby requested to quote on CCTV CAMERAS for KWAZINI CLC as per the attached advert.,17/09/2025,22/09/2025,,,
Other service activities,SCM 005/2025/26,PANEL OF THREE (3) SERVICE PROVIDERS TO SUPPLY AND DELIVER CONCRETE PRODUCT FOR A PERIOD OF TWO YEARS.,17/09/2025,21/10/2025,,,
Other service activities,043/2024/25,PANEL OF TWO (02) SERVICE PROVIDERS TO SUPPLY AND DELIVER SHEARING SHED EQUIPMENT FOR A PERIOD OF THREE (03) YEARS (ONE ADDITIONAL) (RE-ADVERT).,17/09/2025,20/10/2025,,,
Supplies: General,ZNQ01997/00000/00/PMC/GEN/25/T,Supply and deliver Road Signs for Cost Centre PMB,17/09/2025,29/09/2025,,,
Other service activities,034/2024/25,"PANEL OF FIVE (5) SERVICE PROVIDERS FOR CO-SOURCING OF THE INTERNAL AUDIT SERVICES, FOR A PERIOD OF THREE (03) YEARS, AS AND WHEN NEEDED (FOUR ADDITIONAL) (RE-ADVERT).",17/09/2025,22/10/2025,,,
Other service activities,RFQ201817,RFQ 201817: Appointment of a service provider for supply and delivery of Paraffin Stoves.,17/09/2025,26/09/2025,,,
Services: General,SASSA:08-25-ICT- HO,"The South African Social Security Agency hereby invites proposals from potential service providers to Supply, Install,Deliver,Configure, Support And Maintain Hi-Tech Self-Service Kiosks as and when required to SASSA in 9 Provinces for a period of 3 years.",17/09/2025,13/10/2025,,,
Supplies: Electrical Equipment,Q29-2025-26,"ADVERTISEMENT: QUOTATION FOR THE SUPPLY, DELIVERY AND OFFLOADING OF FERRULE BI-METAL 300 MM2 AL-240 MM2 TO CITY OF TSHWANE STORES",17/09/2025,01/10/2025,,,
Services: General,E1872NTCSAMWP,Repair and Calibration of various machine for Lines and Servitude for a period of 24 months.,17/09/2025,20/10/2025,,,
Accommodation,1675,"THE APPOINTMENT OF AN ACCREDITED SERVICE PROVIDER FOR THE PROVISION OF CATERING SERVICES FOR 450 PAX FOR THE RTF WORKSHOP TO HELD ON THE 02 DECEMBER 2025 IN EMALAHLENI, MPUMALANGA.",17/09/2025,23/09/2025,,,
Accommodation,1674,"THE APPOINTMENT OF AN ACCREDITED SERVICE PROVIDER FOR THE PROVISION OF CATERING SERVICES FOR 450 PAX FOR THE RTF WORKSHOP TO HELD ON THE 30 SEPTEMBER AND 03 DECEMBER 2025 IN EMALAHLENI, MPUMALANGA.",17/09/2025,23/09/2025,,,
Supplies: General,RFQ202526/55,PROCUREMENT OF PROTOCOL ITEMS FOR THE KWAZULU-NATAL INVESTMENT CONFERENCE 2025.,17/09/2025,23/09/2025,,,
Supplies: Medical,TE25-SRX-9AC-15846,"FOR THE SUPPLY, INSTALLATION, TESTING & COMMISSIONING, AND 3-YEAR MAINTENANCE CONTRACT OF DENTAL EQUIPMENT TO TRANSNET ENGINEERING FOR THE PHELOPHEPA HEALTHCARE TRAINS ON AN “AS AND WHEN REQUIRED” BASIS",17/09/2025,03/10/2025,,,
Services: Functional (Including Cleaning and Security Services),T37-2025,PROVISION OF CONTROL AND ERADICATION OF ALIEN AND INVASIVE VEGETATION SERVICES FOR THE PERIOD ENDING 31 MARCH 2028.,17/09/2025,17/10/2025,,,
Administrative and support activities,RFP/SPT/2025/0249414/20,"PANEL OF SERVICE PROVIDERS FOR THE PROCUREMENT OF SERVICES TO COLLECT AND ON-PASS FEEDS FROM INTERNATIONAL GATEWAYS, INTERNATIONAL SATELLITES AND HOST BROADCASTERS ON AN AS AND WHEN REQUIRED BASIS FOR A PERIOD OF THREE YEARS",17/09/2025,10/10/2025,,,
Administrative and support activities,RFQ/LOG/2025/10249640/33,APPOINTMENT OF A SUITABLE SERVICE PROVIDER TO OPERATE CANTEEN AND CATERING SERVICES FOR SABC NW FOR A PERIOD OF 3 YEARS,17/09/2025,08/10/2025,,,
"Electricity, gas, steam and air conditioning",TE25-SRX-8GU-16226,FOR THE SUPPLY AND DELIVERY OF NEW VARIOUS AIRCON FOR PHELOPHEPA FOR ONCE OFF,17/09/2025,03/10/2025,,,
Supplies: Electrical Equipment,E1859GXMPTUT,SUPPLY AND DELIVERY OF LED LIGHT FIXTURES AT TUTUKA POWER STATION – ONCE OFF,17/09/2025,29/09/2025,,,
Specialised construction activities,IEC/SS-02/2025,Multidisciplinary Technical Team,17/09/2025,31/10/2025,,,
Construction of buildings,WTE137CE.,Supply and Delivery of Local Content Reinforcement Material to Grootdraai Dam Refurbishment Project near Standerton in the Mpumalanga Province.,17/09/2025,06/10/2025,,,
Services: General,RFP118/2025,PROFESSIONAL SERVICE PROVIDER (PSP) TO SUPPORT LAINSBURG LOCAL MUNICIPALITY (LLM) WITH THE DEVELOPMENT AND IMPLEMENTATION OF A REVENUE ENHANCEMENT PROGRAMM,17/09/2025,07/10/2025,,,
Services: General,RFP117/2025,PROFESSIONAL SERVICE PROVIDER (PSP) TO SUPPORT LAINSBURG LOCAL MUNICIPALITY (LLM) WITH THE DEVELOPMENT AND IMPLEMENTATION OF A REVENUE ENHANCEMENT PROGRAMME.,17/09/2025,10/10/2025,,,
Services: General,RFP119/2025,PROFESSIONAL SERVICE PROVIDER (PSP) TO SUPPORT VICTOR KHANYE LOCAL MUNICIPALITY (VKLM) WITH THE DEVELOPMENT AND IMPLEMENTATION OF A REVENUE ENHANCEMENT PROGRAMME.,17/09/2025,13/10/2025,,,
Services: General,RFP125/2025,SOURCING OF A SERVICE PROVIDER FOR RISK EXPOSURE LIMIT SETTING MODELS FOR DBSA,17/09/2025,10/10/2025,,,
Services: General,UMZ/2025-26/CS/ICT/002,IT ACCESS FREE WI-FI HOTSPOT COVERING 100 METER RADIUS,17/09/2025,23/09/2025,,,
Services: Professional,T15./2025,PANEL OF PROFESSIONAL LEGAL SERVICES FOR A PERIOD OF THREE YEARS,16/09/2025,17/10/2025,,,
Services: Professional,T19/2025,PROVISION OF EMPLOYEE FITNESS AND MEDICAL SURVEILLANCE TESTS FOR A PERIOD OF THREE YEARS,16/09/2025,17/10/2025,,,
Disposals: General,OLT2128064,"DISPOSAL - ESTABLISHMENT OF AN ENABLING AGREEMENT FOR THE DISPOSAL OF MIXED SCRAP FERROUS METALS (STEEL,SUB-GRADE,CT’S,VT’S, STEEL CAGES, PORCELAIN, RUBBER, INSULATORS, ISOLATORS AND LINE HARDWARE) AS AND WHEN AVAILABLE FOR A CONTRACT PERIOD OF 4 MOTNHS (01 OCTOBER 2025 TO 31 JANUARY 2026) FROM ARNOT PS",16/09/2025,25/09/2025,,,
Services: Professional,RFQ/HRM/25/26/168,Invitation for experienced Bidders: Provision of Comprehensive Remuneration and Service Benefits.,16/09/2025,25/09/2025,,,
Services: Building,RFQ/25/26/93,REMOVAL OF CRANE FROM TOP OF GQEBERHA POST OFFICE BUILDING 15TH FLOOR],16/09/2025,26/09/2025,,,
Food and beverage service activities,WCGHSC0112/2025,"FOR THE PROVISION OF THE FOLLOWING SERVICES AT THE WESTERN CAPE COLLEGE OF NURSING BOLAND, WORCESTER CAMPUS, UNDER CONTROL OF WESTERN CAPE GOVERNMENT HEALTH AND WELLNESS FOR A 3-YEAR PERIOD: 1) CATERING, CLEANING, FACILITY MANAGEMENT AND PEST CONTROL AT ERICA RESIDENCE, 84 RIEBEECK STREET, WORCESTER; AND 2) CLEANING AT TUITION SITE, RAINIER STREET, WORCESTER",16/09/2025,14/10/2025,,,
Telecommunications,SENT/025/2025-26,Appointment of a Service Provider for the Provision of a (three) 3 years Netbrain Licences,16/09/2025,10/10/2025,,,
Services: Electrical,E1811DXNWOU,Provision of Meter Reading Services in the North-West Operating Unit (NWOU) on an “as and when” required basis over a period of thirty- six (36) months.,16/09/2025,16/10/2025,,,
Other service activities,5/2/1/1/2025-2026(92),"APPOINTMENT OF A SERVICE PROVIDER TO RENDER A CASH-IN-TRANSIT SERVICE FOR THE PERIOD OF (36) MONTHS AT 600 LILLIAN NGOYI STREET, BEREA PARK, DEPARTMENT OF LAND REFORM AND RURAL DEVELOPMENT COMMENSING ON THE 27 OCTOBER 2025",16/09/2025,26/09/2025,,,
Education,RFQ/KM/QUALIFICATIONASSESSOR/828/2025-2026,To determine the NQF level achieved which relates to all courses completed and combined experience in current position.,16/09/2025,22/09/2025,,,
Education,ZNQ02008/00000/00/PMR/GEN/25/T,PROVISION OF HEALTH AND SAFETY MANAGEMENT TRAINING,16/09/2025,22/09/2025,,,
Services: Professional,Bid No. 41/2025,Valuation of Land and Buildings,16/09/2025,30/09/2025,,,
Construction of buildings,RFQ 4083/24,"Request for service provider to do an assessment and quoting in Earthing refurbishment, testing and Concrete slab refurbishment, leveling at Lightning Detection Network (LDN) sites.",16/09/2025,03/10/2025,,,
Construction,RFQ 3799b/24,"Supply, delivery, and installation of epoxy coating flooring in the Technicians’ office at Irene Weather Office.",16/09/2025,30/09/2025,,,
Construction,TNPA/2024/08/0003/73199/RFP,REPLACEMENT AND CONSTRUCTION OF THE NEW BULK ELECTRICAL INFRASTRUCTURE AT STURROCK DRY DOCK FOR THE PORT OF CAPE TOWN FOR A PERIOD OF TWO (2) YEARS,16/09/2025,17/10/2025,,,
Supplies: Computer Equipment,Q2025/21,SUPPLY AND DELIVERY OF 5X LAPTOP COMPUTERS,16/09/2025,23/09/2025,,,
Construction,MPCAM11042GXR10,Notification of award: THE ESTABLISHMENT OF CAMDEN POWER STATION RAPID DEPLOYMENT DESALINATION WATER TREATMENT PLANT PROJECT (14 MONTHS) AND THE OPERATION AND MAINTENANCE (18 MONTHS) AT CAMDEN POWER STATION RAPID DEPLOYMENT DESALINATION WATER TREATMENT PLANT FOR THE PERIOD OF 32 MONTHS COMBINED.,16/09/2025,03/10/2025,,,
Services: Functional (Including Cleaning and Security Services),E1535GXGPLETR,PROVISION OF THE INDUSTRIAL SPECIALIZED CLEANING SERVICES IN COAL PLANT OVER A PERIOD OF FIVE (5) YEARS AT LETHABO POWER STATION,16/09/2025,08/10/2025,,,
"Financial service activities, except insurance and pension funding",HGDA 01-2025/26,APPOINTMENT OF A SERVICE PROVIDER FOR THE PROVISION OF PAYROLL SYSTEM WITH SUPPORT AND MAINTENANCE FOR THE HARRY GWALA DEVELOPMENT AGENCY OVER A PERIOD OF 36 MONTHS (3 YEARS),16/09/2025,13/10/2025,,,
Supplies: General,E1866GXMPARN,Supply and delivery of Packings and Gaskets on as and when required at Arnot Power Station for the period of 5 years,16/09/2025,08/10/2025,,,
Security and investigation activities,HGDA 03-2025/26,SPECIALISED SECURITY SERVICES FOR 36 MONTHS,16/09/2025,13/10/2025,,,
Supplies: Electrical Equipment,10363069/Mat/Comp,SUPPLY AND DELIVERY OF THE AFRO 4000 LOCOMOTIVES COMPONENTS AND MATERIALS IN BLOEMFONTEIN,16/09/2025,23/09/2025,,,
Services: General,HGDA 02-2025/26,"SUPPLY, DELIVERY AND INSTALLATION OF CEILING",16/09/2025,03/10/2025,,,
Other service activities,VKLM/RW12/MIG/P3/2025/2026/A,DRILLING;REFURBISHMENT OF BOREHOLES IN RURAL AREAS AND PROVISION OF ELEVATED TANK AND CONSTRUCTION OF RAISING MAIN AND ENERGIZING OF BOREHOLES,16/09/2025,22/10/2025,,,
Services: General,RFQ 2025.213,Prospective service providers are hereby requested to quote onREPAIRS AND MAINTENANCE for ST ANTHONY’S CLC as per the attached advert.,16/09/2025,19/09/2025,,,
Supplies: General,RFQ 2025.214,Prospective service providers are hereby requested to quote on REPAIRS AND MAINTENANCE for ST ANTHONY’S CLC as per the attached advert.,16/09/2025,19/09/2025,,,
Construction,CSIR RFP 3703/10/10/2025,"Request for Proposals (RFP) The Removal, Supply and Installation of Auditorium seats at the CSIR International Convention Centre at the CSIR Pretoria Campus.",16/09/2025,10/10/2025,,,
Legal and accounting activities,RFQ/PPECB/Legal-Panel/2025/09,Appointment of a Panel of Legal Firms for the Provision of Ad Hoc Legal Services to the PPECB,16/09/2025,03/10/2025,,,
Supplies: General,10363066/7/SAE-20W-40(OILDRUM),"SUPPLY ,DELIVERY AND REFILL OIL DRUMS (210 LITRES, SAE 20W-40) ON 3 AFRO-4000 LOCOMOTIVES (1 IN PORT ELIZABETH AND 2 IN BLOEMFONTEIN)",16/09/2025,23/09/2025,,,
Manufacture of electrical equipment,E1074DXECCC,Cancellation of supply and delivery of Breakers CCT LV 50A;63A;40A 230V 5KA Pole Top Box.,16/09/2025,01/10/2025,,,
Construction,PB 056,Hire of PC 220 Excavator with JSB8IS hydraulic hammer ( Silenced) attachment for 2 days only ( collection and return will done by department on at maximum radius of 100 KM),16/09/2025,25/09/2025,,,
Services: General,RFQ2025-009-019,REQUEST FOR QUOTE: THE APPOINTMENT OF A SERVICE PROVIDER TO ASSESS AND EVALUATE THE PERFORMANCE & PORTFOLIO OF EVIDENCE FOR THE EXECUTIVE TEAM OF THE NATIONAL LOTTERIES COMMISSION (NLC) FOR TWO (2) FINANCIAL YEARS,16/09/2025,25/09/2025,,,
Services: Professional,5/2/1/1/2025-2026(90),"APPOINTMENT OF A SERVICE PROVIDER TO REVIEW AN UPDATE THE ENVIRONMENTAL POLICY, COMPILE THE 4TH COMPLIANCE REPORT FOR THE 2020-2024 CONSOLIDATED ENVIRONMENTAL IMPLEMENTATION AND MANAGEMENT PLAN (CEIMP) FOR THE DEPARTMENT OF AGRICULTURE, LAND REFORM AND RURAL DEVELOPMENT (DALRRD), COMPILE CEIMP 2025-2029 AND ITS 2025-2026 ANNUAL COMPLIANCE REPORT FOR DEPARTMENT OF LAND REFORM AND RURAL DEVELOPMENT (DLRRD) OVER A PERIOD OF TWELVE (12) MONTHS.",16/09/2025,01/10/2025,,,
Printing and reproduction of recorded media,RFQ 2025-009-018,APPOINTMENT OF A SUPPLIER- NLC BRAND AND IDENTITY DOCUMENTS,16/09/2025,22/09/2025,,,
Information and communication,RFQ/KM/IMPLEMENTATIONOFSTAFFCHANGE/827/2025-2026,"(SACAA) invites suitably qualified and experienced service providers to submit proposals for the design and implementation of a Staff Change Management Programme focused on Service Level Standards, to be delivered over a six (6) month period.",16/09/2025,26/09/2025,,,
Services: Functional (Including Cleaning and Security Services),ZNQ 25/26/33/S,Department of Public Works and Infrastructure: No 31 Rubby Gailey Road- Site Clearance on Vacant Land,16/09/2025,23/09/2025,,,
Civil engineering,Tender 37/2025,UPGRADE OF BOTHA PUMP STATION AND THE OUTFALL MAINS TO THE WASTE WATER TREATMENT PLANT,16/09/2025,27/10/2025,,,
Services: Professional,Q41 EDTEA 25/26,"APPOINTMENT OF SERVICE PROVIDER TO PROVIDE CULTURE AND NATURE TRAINING OF TOURIST GUIDES UNDER UGU, ILEMBE AND UMZINYATHI DISTRICT MUNICIPALITY FOR THE PERIOD OF SIX (06) MONTHS.",16/09/2025,01/10/2025,,,
Services to buildings and landscape activities,SLM/SCM/15/2025/2026,HIRING OF 8 MOBILE BUCKET -SYSTEM TOILETS FOR A PERIOD OF 3 MONTHS,16/09/2025,23/09/2025,,,
Civil engineering,Tender 44/2025,UPGRADE OF ROBERTLAAN PUMPSTATION,16/09/2025,27/10/2025,,,
Supplies: Stationery/Printing,CCMA/2025/04-CS,PANEL APPOINTMENT FOR THE SUPPLY AND DELIVERY OF STATIONERY OF PRINTING PAPERS AND STATIONERY FOR ALL CCMMA OFFICES AS AND WHEN REQUIRED FOR A PERIOD OF THREE (3) YEARS,16/09/2025,07/10/2025,,,
Services: Professional,RFQ/FAC/25/26/040,"Appointment of a qualified and experienced service provider with the necessary knowledge, capacity, and expertise to render risk assessment services.",16/09/2025,25/09/2025,,,
Services: Professional,Q 38 EDTEA 25-26,"APPOINTMENT OF A SUITABLE QUALIFIED AND EXPERIENCED SERVICE PROVIDER TO PROVIDE THE DEPARTMENT OF ECONOMIC DEVELOPMENT , TOURISM AND ENVIRONMENTAL AFFAIRS WITH MEDIA MONITORING SERVICES FOR A PERIOD OF 12 MONTHS.",16/09/2025,01/10/2025,,,
