Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID
Supplies: General,COM19/2026,"SUPPLY, DELIVERY, OFF-LOADING AND ASSEMBLING OF OFFICE FURNITURE FOR CITY OF MBOMBELA",19/02/2026,26/02/2026,Mbombela Local Municipality,Request for Quotation,Mpumalanga,"1 Nel Street Mbombela Civic Centre, Sonheuwel, Mbombela, 1200",See bid document for special conditions.,Thokozani Ncongwane,thokozani.ncongwane@mbombela.gov.za,013-759-9268,013-759-9268,No,No,,,No,No,/tender/148197,148197
Supplies: General,COM23/2026,APPOINTMENT OF A SERVICE FOR SUPPLY AND DELIVERY OF CAR WASH SUPPORT MATERIALS AND EQUIPMENT FOR CITY OF MBOMBELA,19/02/2026,26/02/2026,Mbombela Local Municipality,Request for Quotation,Mpumalanga,"1 Nel Street Mbombela Civic Centre, Sonheuwel, Mbombela, 1200",See bid document for special conditions.,Dumisani Motshana,dumisani.motshana@mbombela.gov.za,013-759-9207,013-759-9207,No,No,,,No,No,/tender/148198,148198
Administrative and support activities,RFP/RAD/2025/10243661/27,APPOINTMENT OF A SERVICE PROVIDER FOR THE HYBRID VAN REPLACEMENT,19/02/2026,16/03/2026,South African Broadcasting Corporation Limited,Request for Proposal,National,"Corner Artillery and Henley Road, Auckland Park, Johannesburg, 2006",N/A,Blessed,Tenderqueries@sabc.co.za,011-714-4644,N/A,Yes,Yes,,Microsoft teams on the tender document,No,No,/tender/148199,148199
Services: Professional,NKA/COR04/25/26,PROVISION OF PAYROLL SYSTEM,19/02/2026,23/03/2026,Nkandla Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,"Lot 292 Maree road, Nkandla, NKANDLA, 3855",N/A,Ms LN MTSHALI,Lethiwe.Mtshali@nkandla.gov.za,035-833-2040,035-833-2041,No,No,,,No,No,/tender/148201,148201
Scientific research and development,RFQ/SAEON/ELWANDLE/DIVE GEAR SERVICING /201/2025,APPOINTMENT OF A SERVICE PROVIDER TO SERVICE DIVE GEAR AND SUPPLY SPARES,19/02/2026,26/02/2026,National Research Foundation,Request for Quotation,Eastern Cape,"04 Gomery road, Summerstrand, Gqerberha, 6001",N/A,Lucia Maluleke,scm@saeon.nrf.ac.za,012-534-3518,N/A,No,No,,,No,No,/tender/148202,148202
Construction,RFQ/ROADFAR/001/2025,Hiring of Construction Grader and TLB to work around Far North SAFCOL Plantations. (Re-advert),19/02/2026,09/03/2026,South African Forestry Company Limited,Request for Quotation,Limpopo,"R524 Louis Trichard-Levubu Road,  Levubu , Entabeni Road, 0929",N/A,Jeanette Satekge ,jeanette@safcol.co.za,063-705-1530,N/A,No,No,,,No,No,/tender/148203,148203
Supplies: General,RFQJW033NS26,Creative Cloud for teams,19/02/2026,26/02/2026,Johannesburg Water,Request for Quotation,Gauteng,"65 Ntemi Piliso, Newtown, Johannesburg, 2107",N/A,Nompumezo Sobhekwa,nompumezo.mramba@jwater.co.za,011-688-1656,N/A,No,No,,,Yes,No,/tender/148204,148204
Construction,RFQ/ROADKOWYN/001/2025,Hiring of Construction Grader and TLB around Kowyn SAFCOL Plantations as and when required (Wet Rate) (RE-ADVERT),19/02/2026,06/03/2026,South African Forestry Company Limited,Request for Quotation,Mpumalanga,"R532 Sabie Graskop Road , Klein Sabie , Sabie, 1260",N/A,Jeanette Satekge,jeanette@safcol.co.za,063-705-1530,N/A,No,No,,,No,No,/tender/148205,148205
Other service activities,10416935,"SUPPLY: PCR PRIMERS AND PROBES FOR DETECTION OF CTXA GENE, DETECTION OF NITRIFYING MICROORGANISMS, DETECTION OF ADENO VIRUSES AND DETECTION OF CRYPTOSPORODIUM AND GIARDIA AT ANALYTICAL SERVICE - MICROBIOLOGY LABORATORY",19/02/2026,27/02/2026,Rand Water,Request for Quotation,Gauteng,"522 Impala Road, Glenvista, Glenvista, 2058",N/A,Simangele Maseko,smaseko@randwater.co.za,011-682-7251,N/A,No,No,,,No,No,/tender/148206,148206
Services: Building,RFQ/25/26/170,ORKNEY POST OFFICE - PROPERTY REPAIRS,19/02/2026,26/02/2026,South African Post Office Limited,Request for Quotation,North West,"65 FLECKER ROAD, ORKNEY, ORKNEY, 0000",No site inspection has been set up.  To visit branch please refer to the Branch Manager your intensions to visit branch.  All relevant information is on the attached documents.,BERNADETTE,Bernadette.vanzyl@postoffice.co.za,012-845-2452,N/A,No,No,,,No,No,/tender/148207,148207
Supplies: Clothing/Textiles/Footwear,E2580NTCSANG,"Invitation to Tender for the supply and delivery of PPE Work Wear, Personal Protection Equipment and Accessories to NTCSA Northern Grid on an as and when required basis over a period of three (3) years.

A non-compulsory clarification meeting with representatives of NTCSA will be held online:

Date:27 February 2026
Time: 09h00-12h00
Online through MS Team 

Team Meeting Link attached separately 

Tenderers must confirm their intention to attend with the NTCSA Representative, stating the name, position and contact details of each proposed attendee. E-mail: BaloyiAT@ntcsa.co.za 

Furthermore, bidders are requested to send electronic mails for any enquiries related to the bid. 
Send email to BaloyiAT@ntcsa.co.za 
",19/02/2026,20/03/2026,ESKOM,Request for Bid(Open-Tender),Limpopo,"39 HANS VAN RENSBURG, POLOKWANE , POLOKWANE, 0700","A non-compulsory clarification meeting with representatives of NTCSA will be held online:

Date:27 February 2026
Time: 09h00-12h00
Online through MS Team 

Team Meeting Link attached separately 

Tenderers must confirm their intention to attend with the NTCSA Representative, stating the name, position and contact details of each proposed attendee. E-mail: BaloyiAT@ntcsa.co.za 

Furthermore, bidders are requested to send electronic mails for any enquiries related to the bid. 
Send email to BaloyiAT@ntcsa.co.za 
",Asnath Tsakani Baloyi,BaloyiAT@ntcsa.co.za,015-299-0242,N/A,Yes,No,,Join: https://teams.microsoft.com/meet/33246358170391?p=BzmXxRD8QdHANxwHW9,No,No,/tender/148208,148208
Construction,ULM-INFR 007/26,CONSTRUCTION OF WARD 18 SPORTFIELD (MAGWALA),19/02/2026,27/03/2026,Umzimkhulu Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,"169 Main Street, uMzimkhulu, 3297, Umzimkhulu, Umzimkhulu, 3297","Tender documents will be available on the municipal website (www.umzimkhululm.gov.za) and will also be available from the cashier at 169 Main Street, uMzimkhulu, 3297 upon the non-refundable payment of R600 per document or a bank guaranteed cheque made out to uMzimkhulu Municipality during working hours between 09:30am and 16:00pm from the 24th of February 2026; cut-off time for buying documents is the 26th of February 2026, 15 minutes before the briefing time.

A compulsory meeting is scheduled to take place at uMzimkhulu Municipality Makhosini Building, 247 Main Street, uMzimkhulu 3297.
",Mrs. N Mlengane,bunganen@umzimkhululm.gov.za,039-259-5041,N/A,Yes,Yes,,"uMzimkhulu Municipality Makhosini Building Boardroom,247 Mzimkhulu Mlonyana Street, uMzimkhulu 3297.",No,No,/tender/148209,148209
Construction,ULM-INFR 008/26,SURFACING OF IBISI ROADS PHASE 5 IN WARD 11,19/02/2026,27/03/2026,Umzimkhulu Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,"169 Main Street, uMzimkhulu, 3297, Umzimkhulu, Umzimkhulu, 3297","Tender documents will be available on the municipal website (www.umzimkhululm.gov.za) and will also be available from the cashier at 169 Main Street, uMzimkhulu, 3297 upon the non-refundable payment of R600 per document or a bank guaranteed cheque made out to uMzimkhulu Municipality during working hours between 09:30am and 16:00pm from the 24th of February 2026; cut-off time for buying documents is the 26th of February 2026, 15 minutes before the briefing time.

A compulsory meeting is scheduled to take place at uMzimkhulu Municipality Makhosini Building, 247 Main Street, uMzimkhulu 3297.
",Ms. L Mgcwaba,mgcwabaL@umzimkhululm.gov.za,039-259-5069,N/A,Yes,Yes,,"uMzimkhulu Municipality Makhosini Building Boardroom,247 Mzimkhulu Mlonyana Street, uMzimkhulu 3297.",No,No,/tender/148210,148210
Supplies: General,RFQJW036NS26,Supply and delivery of Projector Portable XGA Projector Olifantsvlei,19/02/2026,26/02/2026,Johannesburg Water,Request for Quotation,Gauteng,"OLIFANSVLEI 316-IQ, PORTION RE/2/316,CAVENDISH STREET EXT, Olifansvlei, Johannesburg, 2107",N/A,Nompumezo Sobhekwa,nompumezo.mramba@jwater.co.za,011-688-1656,N/A,No,No,,,Yes,No,/tender/148211,148211
Human health and social work activities,PR10114464,The Road Accident Fund (RAF) wishes to appoint an Ophthalmologist to conduct a detailed clinical examination of a motor vehicle accident claimant,19/02/2026,03/03/2026,Road Accident Fund,Request for Quotation,Gauteng,"8-10 Junction Avenue, Parktown, Johannesburg",N/A,Ronewa Ramagovhodo ,ronewar@raf.co.za,079-106-4833,N/A,No,No,,,No,No,/tender/148212,148212
Supplies: General,API01REQ006160,"Removal, supply and installation of window shutters for boardrooms. ARC-AP Irene",19/02/2026,27/02/2026,Agricultural Research Council,Request for Quotation,Gauteng,"Old Olifantsfontein Road, Irene, Irene, 0062",N/A,Ngoako Waleng,WalengN@arc.agric.za,012-672-9291,000-000-0000,Yes,Yes,,ARC-AP Irene Main Building,No,No,/tender/148213,148213
Services: Building,QUOTATION No. Q12/1269 OF 25/26,APPOINTMENT OF A SERVICE PROVIDER: KITCHEN REFURBISHMENT FOR THE LAND SURVEYING DEPARTMENT (PROFESSOR NYEMBEZI BUILDING 4TH FLOOR),19/02/2026,25/02/2026,Msunduzi Local Municipality,Request for Quotation,KwaZulu-Natal,"333 church street, professor nyembezi bld, 4th floor, Pietermaritzburg, Pietermaritzburg, 3201",N/A,Ntobeko Dube,ntobeko.dube@msunduzi.gov.za,033-392-2427,N/A,No,No,,,No,No,/tender/148214,148214
Other service activities,GMT038/25-26,Appointment of a Service Provider for Amendment of the George Municipal Spatial Development Framework 2023 as a core component of the Integrated Development Plan.,19/02/2026,23/03/2026,George Municipality,Request for Bid(Open-Tender),Western Cape,"71 York Street, George, George, 6530",N/A,Henriette Koch,hkoch@george.gov.za,044-801-9024,N/A,Yes,Yes,,MS Teams,No,No,/tender/148215,148215
Services: General,QUOTATION No. Q12/1294 OF 25/26,APPOINTMENT OF A SERVICE PROVIDER: REPAIRS AND MAINTENANCE TO PUBLICITY PUBLIC TOILETS,19/02/2026,25/02/2026,Msunduzi Local Municipality,Request for Quotation,Western Cape,"Publicity house, Pietermaritzburg, Pietermaritzburg, 3201",N/A,George Mwange,george.mwange@msunduzi.gov.za,033-392-2123,N/A,No,No,,,No,No,/tender/148216,148216
Supplies: General,RFQJW037NS26,Cisco Network Equipment,19/02/2026,26/02/2026,Johannesburg Water,Request for Quotation,Gauteng,"65 Ntemi Piliso, Newtown, Johannesburg, 2107",N/A,Nompumezo Sobhekwa,nompumezo.mramba@jwater.co.za,011-688-1656,N/A,No,No,,,Yes,No,/tender/148217,148217
Services: Building,NRF/CORP EM RFQ 103/2025-26,"APPOINTMENT OF A 1SF OR HIGHER CIDB GRADE SERVICE PROVIDER TO 
SERVICE ALL FIRE EQUIPMENT FOR THE NATIONAL RESEARCH FOUNDATION 
PREMISES IN PRETORIA, BRUMMERIA FOR A PERIOD OF THIRSTY SIX (36) 
MONTHS",19/02/2026,25/02/2026,National Research Foundation,Request for Quotation,National,"Meiring Naude rd, Brummeria, Pretoria, 0001",N/A,Moshidi Mosena,tender.enquiries@nrf.ac.za,012-481-4000,N/A,No,No,,,Yes,No,/tender/148218,148218
Services: Professional,FIN01/2025/26,"REQUEST FOR PROPOSALS FOR THE COMPILATION OF ANNUAL FINANCIAL STATEMENTS AND GRAP, CIDMS AND MSCOA COMPLIANT ASSET REGISTER FOR THE 2025/26; 2026/27 AND 2027/28 FINANCIAL YEARS",19/02/2026,20/03/2026,Umsobomvu Local Municipality,Request for Proposal,Northern Cape,"Magrieta Prinsloo Street , WARRENTON, WARRENTON, 8530",N/A,Ms Kedi Khaziwa ,kvkhaziwa@yahoo.com,053-497-3111,N/A,No,No,,,No,No,/tender/148219,148219
Services: General,RFQ12162,"THE COMPLETION OF SHADED PARKING REPLACEMENT PROJECT AT KING PHALO AIRPORT

",19/02/2026,04/03/2026,Airports Company of South Africa,Request for Quotation,Eastern Cape,"King Phalo Airport, East London, East London, 4407",N/A,Mlungisi Professor Mgobhozi,Tenders3.ksia@airports.co.za,032-436-6198,N/A,Yes,Yes,,"King Phalo Airport, Information help desk, East London",Yes,No,/tender/148220,148220
Services: General,RFQJW035NS26,Queue Management System,19/02/2026,02/03/2026,Johannesburg Water,Request for Quotation,Gauteng,"65 Ntemi Piliso, Newtown, Johannesburg, 2107",N/A,Nompumezo Sobhekwa,nompumezo.mramba@jwater.co.za,011-688-1656,N/A,Yes,Yes,,"65 Ntemi Piliso Street, Johannesburg, Gauteng, 2001 Boardroom 2",Yes,No,/tender/148221,148221
Services: General,IHLM/33/2025-26/ADMIN_,TOUR GUIDE TRAINING SERVICES,19/02/2026,27/02/2026,Ingquza Hill Local Municipality,Request for Quotation,Eastern Cape,"135 MAIN STREET , FLAGSTAFF, FLAGSTAFF, 4810",N/A,T. MACANIKWA,TMACANIKWA@IHLM.GOV.ZA,039-252-0131,N/A,No,No,,,No,No,/tender/148222,148222
Other service activities,E2589CXMWP,"E2589CXMWP-PROVISON OF RESOURCING OF ACOUSTIC UPGRADE OF ONE STUDIO WITH NO- AIR BROADCASTING EQUIPMENT, PRODUCTION EQUIPMENT, INSTALLATION, AND TRAINING FOR FIVE MONTHS",19/02/2026,10/03/2026,ESKOM,Request for Bid(Open-Tender),National,"https://eTendering.eskom.co.za/tender, Sunninghill , Sunninghill, 3000",N/A,Slondiwe mthethwa,mthethis@eskom.co.za,011-800-6013,N/A,No,No,,,No,No,/tender/148223,148223
Services: General,IHLM/82/2025-26/CORP_,GRAPHIC DESIGN TRAINING SERVICES,19/02/2026,27/02/2026,Ingquza Hill Local Municipality,Request for Quotation,Eastern Cape,"135 MAIN STREET, FLAGSTAFF",N/A,T. MACANIKWA,TMACANIKWA@IHLM.GOV.ZA,039-252-0131,N/A,No,No,,,No,No,/tender/148224,148224
Supplies: General,RFQJW039NS26,Supply and delivery of Zebra TC22 Mobile Computers  scanner or equivalent,19/02/2026,26/02/2026,Johannesburg Water,Request for Quotation,Gauteng,"65 Ntemi Piliso, Newtown, Johannesburg, 2107",N/A,Nompumezo Sobhekwa,nompumezo.mramba@jwater.co.za,011-688-1656,N/A,No,No,,,Yes,No,/tender/148225,148225
Construction,KSIA8031/2025/RFP,BID REQUEST FOR THE PROCUREMENT OF A PRINCIPAL CONTRACTOR FOR THE REFURBISHMENT OF SLIDING DOORS AT KING SHAKA INTERNATIONAL AIRPORT,19/02/2026,20/03/2026,Airports Company of South Africa,Request for Bid(Open-Tender),KwaZulu-Natal,"King Shaka Drive, La Mercy, Durban, 4405","Non-compulsory briefing session online:

Microsoft Teams meeting
Join: https://teams.microsoft.com/meet/32807772138708?p=Ps6bp5VR5l6UiXwMP9
Meeting ID: 328 077 721 387 08
Passcode: uL7mH9WR
",Tondani.Mtephe,tondani.mtephe@airports.co.za,011-000-0000,N/A,Yes,No,,Microsoft Teams meeting Join: https://teams.microsoft.com/meet/32807772138708?p=Ps6bp5VR5l6UiXwMP9 M,No,No,/tender/148226,148226
Services: General,IHLM/68/2025-26/MM'S_,FRAUD HOTLINE SERVICES FOR A PERIOD OF 36 MONTHS,19/02/2026,24/03/2026,Ingquza Hill Local Municipality,Request for Quotation,Eastern Cape,"135 MAIN STREET FLAGSTAFF, FLAGSTAFF, FLAGSTAFF, 4810",N/A,S DANISO,sdaniso@ihlm.gov.za,039-252-0131,N/A,No,No,,,No,No,/tender/148228,148228
"Other professional, scientific and technical activities",RFQ/FIN/051/2025,APPOINTMENT OF A SERVICE PROVIDER FOR THE AUCTION OF SIX (6) CATHSSETA MOTOR VEHICLES,19/02/2026,11/03/2026,"Culture Arts, Tourism, Hospitality And Sport Sector Education And Training Authority (CATHSSETA)",Request for Quotation,Gauteng,"270 George Road, Noordwyk, Midrand, 1687",N/A,Lebogang Phaleng,supplychain@cathsseta.org.za,011-217-0600,N/A,No,No,,,No,No,/tender/148229,148229
Services: General,IHLM-133/2025-26/PLAN,NKULULEKWENI SETTLEMENT TOPOGRAPHIC SURVEY UNDER INGQUZA HILL LM,19/02/2026,27/02/2026,Ingquza Hill Local Municipality,Request for Quotation,Eastern Cape,"135 MAIN STREET, FLAGSTAFF, FLAGSTAFF, 4810",N/A,A MASHABA,AMASHABA@IHLM.GOV.ZA,039-252-0131,N/A,No,No,,,No,No,/tender/148231,148231
Services: General,IHLM-132/2025-26/PLAN,THE REPLANNING OF NKULULEKWENI SETTLEMENT UNDER INGQUZA HILL LM,19/02/2026,27/02/2026,Ingquza Hill Local Municipality,Request for Quotation,Eastern Cape,"135 MAIN STREET, FLAGSTAFF, FLAGSTAFF, 4810",N/A,A MASHABA,AMASHABA@IHLM.GOV.ZA,039-252-0131,N/A,No,No,,,No,No,/tender/148232,148232
Specialised construction activities,JWCHR002/24R,"PROVISION OF RAPID DEPLOYMENT OF SPECIALISED TACTICAL ARMED RESPONSE. ARMOURED VEHICLES, ESCORT SERVICES, AND CLOSE PROTECTION SERVICES ON AS AND WHEN REQUIRED BASIS FOR A PERIOD OF THIRTY SIX MONTHS",19/02/2026,24/03/2026,Johannesburg Water,Request for Bid(Open-Tender),Gauteng,"65 NTEMI PILISO , JOHANNESBURG, JOHANNESBURG, 2000",N/A,Seemela Mashego,seemela.mashigo@jwater.co.za,011-688-1821,011-688-1821,Yes,Yes,,"AUDITORIUM TURBINE HALL, 65 NTEMI PILISO STREET",No,No,/tender/148233,148233
Services: General,10367747,SUPPLY AND DELIVER OF MAINT CONSUM PLOTTERS,19/02/2026,26/02/2026,Passenger Rail Agency of South Africa,Request for Quotation,Western Cape,"PHOPNET BUILDING 6TH FLOOR ,ROOM 622 NUMBER 1 ADDERLEY STREET, CAPE TOWN , CAPE TOWN, 8001",N/A,Bonwell Booi,bonwell.booi@prasa.com,021-837-7945,N/A,No,No,,,No,No,/tender/148234,148234
Specialised construction activities,JWCHR004/25,BUSINESS SUPPORT FOR THE MAINTENANCE OF THE HUMAN RESOURCES SAP PAYROLL AND INFORMATION SYSTEMS FOR A PERIOD OF THIRTY SIX MONTHS,19/02/2026,25/03/2026,Johannesburg Water,Request for Bid(Open-Tender),Gauteng,"65 NTEMI PILISO, JOHANNESBURG, JOHANNESBURG, 2000",N/A,Nokuthula Henderson,nokuthula.henderson@jwater.co.za,011-688-1491,011-688-1491,Yes,No,,"AUDITORIUM TURBINE HALL, 65 NTEMI PILISO STREET",No,No,/tender/148235,148235
Supplies: General,RFQJW041NS26,Supply and Deliver Bell 2106E and Doosan Mega 400V  Service kits ,19/02/2026,02/03/2026,Johannesburg Water,Request for Quotation,Gauteng,"R511+- 8KM NORTH OF FOURWAYS, Diepsloot, Johannesburg, 2107",N/A,Nompumezo Sobhekwa,nompumezo.mramba@jwater.co.za,011-688-1656,N/A,Yes,Yes,,Nothern Works Waste Water Plant @Diepsloot,Yes,No,/tender/148236,148236
Supplies: General,RFQJW042NS26,Supply 4x Elite 750 Walk behind Mowers Service Kits,19/02/2026,02/03/2026,Johannesburg Water,Request for Quotation,Gauteng,"65 Ntemi Piliso, Diepsloot, Johannesburg, 2107",N/A,Nompumezo Sobhekwa,nompumezo.mramba@jwater.co.za,011-688-1656,N/A,Yes,Yes,,Nothern Works Waste Water Plant @Diepsloot,Yes,No,/tender/148237,148237
Information and communication,CMS03/2025/26.,Request for Proposals for the appointment of a service provider for replacement of the Complaints Management Solution,19/02/2026,11/03/2026,Council for Medical Schemes,Request for Bid(Open-Tender),Gauteng,"420 Witch – Hazel Avenue,  Eco Park, Block A, Eco Glades 2 Office Park,, Centurion, 0157",N/A,Bokamoso Legong,b.legong@medicalschemes.co.za,012-431-0457,N/A,Yes,Yes,,CMS Offices,No,No,/tender/148238,148238
